#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
West European Politics	1	West European Politics	NULL	West Eur. Politics	NULL		NULL	NULL	Comparative politics	NULL	Routledge	1978-present	NULL	NULL	1.464	2015	NULL	NULL	80641468	473894221	NULL	1743-9655	NULL
International Journal of Cancer	1	International Journal of Cancer	NULL	Int. J. Cancer	NULL		NULL	NULL	Oncology	NULL	John Wiley & Sons on behalf of the Union for International Cancer Control	1966–present			5.531	2015	IJCNAW		66009863	474772933	NULL	1097-0215	NULL
Trends in Cognitive Sciences	1	Trends in Cognitive Sciences	NULL	Trends Cogn. Sci.	NULL	United States	NULL	NULL		NULL	Elsevier	1997–present	NULL	NULL			TCSCFK	NULL	97643374	865263317	NULL		NULL
Clinical Cardiology	1	Clinical cardiology	NULL	Clin. Cardiol.	NULL		NULL	NULL	Cardiology	NULL	John Wiley & Sons	1978-resent		NULL	2.431	2015	CLCADC		sc80000325	848831055	NULL	1932-8737	NULL
Ostrich (journal)	1	Ostrich: Journal of African Ornithology	NULL	Ostrich	NULL	South Africa	NULL	NULL	Ornithology	NULL	BirdLife South Africa	1930 - present	NULL	NULL	0.254	2009	NULL	NULL	NULL	NULL	NULL	1727-947X	NULL
Journal of Epidemiology	1	Journal of Epidemiology	NULL		NULL	Japan	NULL	NULL	Medicine	NULL				NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Progressive Librarians Guild	1	Progressive Librarian	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Progressive Librarians Guild	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Accounting Research	1	Journal of Accounting Research	NULL	J. Account. Res.	NULL		NULL	NULL	Accounting, auditing, taxation, finance, business	NULL	Wiley-Blackwell for the Accounting Research Center at the Booth School of Business	1963-present			2.449	2013					NULL	1475-679X	NULL
Manufacturing & Service Operations Management	1	Manufacturing & Service Operations Management (M&SOM)	NULL	Manuf. Serv. Oper. Manag.	NULL	USA	NULL	NULL	Operations Management	NULL	Institute for Operations Research and the Management Sciences	1999-present		NULL	1.966	2015	MSOMFV	NULL	sn99008226	60637557	NULL	1526-5498	NULL
The Journal of Psychology	1	The Journal of Psychology: Interdisciplinary and Applied	NULL	JRL	English	United States	NULL	NULL	Psychology	NULL	Taylor & Francis formerly Heldref Publications	1935 to present								1782317	NULL		NULL
International Journal of Software and Informatics	1	NULL	NULL		NULL	China	NULL	NULL	Computer science	NULL	Chinese Academy of Sciences	2007-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Cell Science	1	Journal of Cell Science	NULL	J. Cell Sci.	NULL	United Kingdom	NULL	NULL	Cell biology	NULL	The Company of Biologists	1853–present	After 6 months		4.706	2015	JNCSAI		66009876	1754489	NULL	1477-9137	NULL
Histochemistry and Cell Biology	1	Histochemistry and Cell Biology	NULL	Histochem. Cell Biol.	NULL		NULL	NULL	Cell biology, histochemistry	NULL	Springer Science+Business Media on behalf of the Society for Histochemistry	1958-present		NULL	2.78	2015	HCBIFP		95648296	32074894	NULL	1432-119X	NULL
Religion (journal)	1	Religion	NULL	NULL	NULL	United Kingdom	NULL	NULL	Religious studies	NULL	Routledge	1971-present	NULL	NULL	NULL	NULL	NULL	NULL	76615899	186359943	NULL	NULL	NULL
The Heroic Age (journal)	1	The Heroic Age: A Journal of Early Medieval Northwestern Europe	NULL	Heroic Age	English		NULL	NULL	History and literature of early medieval Northwestern Europe	NULL	Memorial University of Newfoundland	1999-present		NULL					sn99004236	42017271	NULL		NULL
ACM Transactions on Computer-Human Interaction	1	ACM Transactions on Computer-Human Interaction	NULL	ACM Trans. Comput. Hum. Interact.	NULL		NULL	NULL	Human–computer interaction	NULL	Association for Computing Machinery	1994–present					ATCIF4		94644508	712803302	NULL	1557-7325	NULL
Clinical Medicine Insights: Oncology	1	Clinical Medicine Insights: Oncology	NULL	Clin. Med. Insights Oncol.	English		NULL	NULL	Oncology		SAGE Publications	2007–Present	Yes								NULL		NULL
Biochemistry (journal)	1	Biochemistry	NULL		English	United States	NULL	NULL	Biochemistry	NULL	American Chemical Society	1962–present	Via author payment only	NULL	2.938	2016					NULL	1520-4995	NULL
Environmental Values	1	NULL	NULL	Environ. Values	NULL	United Kingdom	NULL	NULL	Ecological economics, environmental ethics, environmental studies, human geography, environmental politics	NULL	White Horse Press	1992-present		NULL	1.311	2015	ENVLE7	NULL	sn92032073	25598903	NULL	1752-7015	NULL
Annales pharmaceutiques françaises	1	Annales pharmaceutiques françaises	NULL	Ann Pharm Fr	French	France	NULL	NULL	Pharmacology, Pharmacy	NULL	Elsevier Masson	1943–present		NULL						260031784	NULL		NULL
Advances in Production Engineering & Management	1	Advances in Production Engineering & Management	NULL	APEM	english	Slovenia	NULL	NULL	Manufacturing engineering, Manufacturing, Industrial engineering, Production engineering, Management	NULL	Production Engineering Institute	NULL	yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Fordham Environmental Law Review	1	Fordham Environmental Law Review	NULL	Fordham Environ. Law Rev.	NULL	United States	NULL	NULL	Environmental law	NULL	Fordham University School of Law	1989-present							2004250079	819172252	NULL		NULL
Journal of the Royal College of Physicians of Edinburgh	1	Journal of the Royal College of Physicians of Edinburgh	NULL	J. Royal Coll. Physicians Edinb.	NULL	Scotland	NULL	NULL	Clinical medicine, medical education, history of medicine	NULL	Royal College of Physicians of Edinburgh	1971-present		NULL						240897647	NULL	2042-8189	NULL
Canadian Family Physician	1	Canadian Family Physician	NULL	Can. Fam. Physician	English, French	Canada	NULL	NULL	Family medicine	NULL	The College of Family Physicians of Canada	1967-present	Yes	NULL	1.808	2013	NULL	NULL		01855088	NULL	1715-5258	NULL
International Journal of Baudrillard Studies	1	International Journal of Baudrillard Studies	NULL	Int. J.Baudrillard Stud.	NULL	Canada	NULL	NULL	Philosophy, critical theory	NULL	Bishops University	2004–present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	55065841	NULL	NULL	NULL
National Association of Scholars	1	Academic Questions	NULL	Acad. Quest.	NULL		NULL	NULL	Higher education	NULL	Springer Science+Business Media on behalf of the National Association of Scholars	1987-present	NULL	NULL			ACQUEO		88649846	260176958	NULL	1936-4709	NULL
PALAIOS	1	PALAIOS	NULL			United States	NULL	NULL	Paleontology, Geology	NULL	Society for Sedimentary Geology	1986–present					PALAEM		sn85007551	48388903	NULL	1938-5323	NULL
Biology Direct	1	NULL	NULL	Biol. Direct	NULL		NULL	NULL	Biology	NULL	BioMed Central	NULL	NULL	NULL	4.04	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Current Trends in Biotechnology and Pharmacy	1	NULL	NULL	Curr Trends Biotechnol Pharm	NULL	India	NULL	NULL	Biotechnology, Pharmacy	NULL	Association of Biotechnology and Pharmacy	2007-present		NULL				NULL			NULL	0973-8916	NULL
Mayo Clinic Proceedings	1	Mayo Clinic Proceedings	NULL	Mayo Clin. Proc.	NULL	United States	NULL	NULL	Internal medicine	NULL	Elsevier on behalf of the Mayo Clinic	1926–present		NULL	6.262	2014	MACPAJ		sc78001722	00822709	NULL	1942-5546	NULL
European Political Economy Review	1	European Political Economy Review	NULL		NULL	Germany	NULL	NULL		NULL	Hochschule für Technik und Wirtschaft Berlin	2003–2008	NULL	NULL			NULL	NULL	2004210795	55703803	NULL		NULL
Theoretical and Applied Genetics	1	Theoretical and Applied Genetics	NULL	Theor. Appl. Genet.	NULL		NULL	NULL	Genetics, genomics, botany	NULL	Springer Science+Business Media	1929–present	Partially	NULL	3.264	2010	THAGA6	NULL	91643825	4624238	NULL	1432-2242	NULL
Annals of Epidemiology	1	Annals of Epidemiology	NULL		NULL		NULL	NULL	Medicine	NULL	Elsevier			NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Computational and Theoretical Chemistry	1	Computational and Theoretical Chemistry	NULL	Comput. Theor. Chem.	NULL		NULL	NULL	Chemistry	NULL	Elsevier	1985–present		NULL	1.403	2015				702664165	NULL		NULL
Yearbook of the Association of Pacific Coast Geographers	1	Yearbook of the Association of Pacific Coast Geographers	NULL	Yearb. Assoc. Pac. Coast Geogr.	NULL	United States	NULL	NULL	geography	NULL	University of Hawaii Press	1935-present	NULL	NULL	NULL	NULL	YAPGAJ	NULL	37013376	01518443	NULL	1551-3211	NULL
Serket (journal)	1	Serket	NULL		NULL	Egypt	NULL	NULL	Arachnology	NULL	Self published	1987-present									NULL		NULL
Manoa (journal)	1	NULL	NULL		NULL	United States	NULL	NULL	Literature	NULL	University of Hawaii Press	1989-present	NULL	NULL	NULL	NULL	NULL	10457909	NULL	42786100	NULL	1527-943X	NULL
Interfaces (journal)	1	Interfaces	NULL	Interfaces	NULL		NULL	NULL	Operations research	NULL	INFORMS	1970-present	NULL	NULL	0.443	2013	NULL	NULL	74646164	781448734	NULL	1526-551X	NULL
Survey Methodology	1	NULL	NULL		English and French	Canada	NULL	NULL	Statistics	NULL	Statistics Canada	1975-present	Yes				NULL	NULL	NULL	7123757	NULL	NULL	NULL
Theological Studies (journal)	1	Theological Studies	NULL	Theol. Stud.	NULL	United States	NULL	NULL	Religious studies	NULL	SAGE Publications	1940-present	Delayed, after 5 years	NULL			NULL	NULL	a40002920	556989066	NULL	NULL	NULL
West Virginia Law Review	1	West Virginia Law Review	NULL	W. Va. Law Rev.	NULL	United States	NULL	NULL	Law	NULL	West Virginia University College of Law	1894-present							12004974	803925706	NULL		NULL
Annual Review of Cell and Developmental Biology	1	Annual Review of Cell and Developmental Biology	NULL	Annu. Rev. Cell Dev. Biol.	NULL		NULL	NULL	Developmental and cell biology	NULL	Annual Reviews	1985-present			20.241	2013	ARDBF8		00215532	31966155	NULL	1530-8995	NULL
Journal of Oral and Maxillofacial Surgery	1	NULL	NULL	J. Oral Maxillofac. Surg.	NULL	United States	NULL	NULL	Oral and maxillofacial surgery	NULL	Elsevier for the American Association of Oral and Maxillofacial Surgeons	1943-present	NULL	NULL	1.333	2012	JOMSDA	NULL	82644523	07757702	NULL	1531-5053	NULL
The Antioch Review	1	The Antioch Review	NULL	Antioch Rev.	English	United States	NULL	NULL	Literary journal		Antioch College	1941 to present						00035769			NULL		NULL
The Plant Genome	1	The Plant Genome	NULL	Plant Genome	English	USA	NULL	NULL	Plant Science, Genetics	yes	Crop Science Society of America	2008-present	yes	CC BY-NC-ND	2.736	2016	NULL	NULL	NULL	NULL	NULL	1940-3372	NULL
African Invertebrates	1	NULL	NULL	Afr. Invertebr.	NULL	South Africa	NULL	NULL	Zoology, paleontology, systematics	NULL	Pensoft Publishers on behalf of the Council of the KwaZulu-Natal Museum	1906–present	Yes	CC-BY-4.0	0.708	2015	ANMUA9	NULL	2002229168	48877367	NULL	2305-2562	NULL
Artful Dodge	1	Artful Dodge	NULL		English	United States	NULL	NULL	Literary journal		College of Wooster	1979–present									NULL		NULL
Chiropractic & Manual Therapies	1	Chiropractic & Manual Therapies	NULL	Chiropr. Man. Ther.	NULL		NULL	NULL	Chiropractic	NULL	BioMed Central	1996-present	Yes	NULL					2011243051	909881198	NULL	2045-709X	NULL
The South Carolina Review	1	The South Carolina Review	NULL		English	United States	NULL	NULL	Literary journal		Clemson University Press	1968-present									NULL		NULL
Schizophrenia Research	1	Schizophrenia Research	NULL		NULL	NULL	NULL	NULL	Psychiatry	NULL	Elsevier	1988-present		NULL	4.748	2011	SCRSEH	NULL	97640811	17726734	NULL	1573-2509	NULL
British Journal of Medical Practitioners	1	British Journal of Medical Practitioners	NULL	Br. J. Med. Pract.	NULL	United Kingdom	NULL	NULL	Medicine	NULL	JMN Medical Education	2008-present	Yes	NULL	NULL	NULL	BJMPBC	NULL	NULL	863089458	NULL	1757-8515	NULL
East Asia Law Review	1	East Asia Law Review	NULL	E. Asia L. Rev.	NULL	United States	NULL	NULL	Law review	NULL	University of Pennsylvania Law School East Asian Legal Studies Association	2004-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Acta Biochimica et Biophysica Sinica	1	Acta Biochimica et Biophysica Sinica	NULL	Acta Biochim. Biophys. Sin.	English	China	NULL	NULL	Biochemistry, biophysics	NULL	Oxford Journals	1958–present		NULL	1.807	2012	ABBSC2		2004243168	58876308	NULL	1745-7270	NULL
Acta Biochimica et Biophysica Sinica	2	Shengwu Huaxue Yu Shengwu Wuli Xuebao	NULL		Chinese	People's Republic of China	NULL	NULL	Biochemistry, Biophysics		Shanghai Kexue Jishu Chubanshe	August 1961 - December 2003					SHWPAU			613327495	NULL		NULL
Journal of Interdisciplinary History	1	Journal of Interdisciplinary History	NULL	J. Interdiscip. Hist.	English	United States	NULL	NULL	History	NULL	MIT Press	1969–present		NULL	0.727	2014		00221953		1799976	NULL	1530-9169	NULL
Bioinformatics and Biology Insights	1	Bioinformatics and Biology Insights	NULL	Bioinform. Biol. Insights	English			NULL	Bioinformatics		SAGE Publications		Yes										NULL
IEEE Journal of Selected Topics in Quantum Electronics	1	IEEE Journal of Selected Topics in Quantum Electronics	NULL	IEEE J. Sel. Top. Quantum Electron.	NULL		NULL	NULL	Quantum electronics	NULL	IEEE Photonics Society	1995-present			3.465	2013				30748662	NULL		NULL
Journal of Southeast Asian Studies	1	Journal of Southeast Asian Studies	NULL	J. Southeast Asian Stud.	NULL		NULL	NULL	Southeast Asian studies	NULL	Cambridge University Press on behalf of the National University of Singapore	1960-present		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PS Political Science & Politics	1	PS: Political Science & Politics	NULL	Political Sci. Politics	NULL	United States	NULL	NULL	Political science	NULL	Cambridge University Press on behalf of the American Political Science Association	1968-present	NULL	NULL	0.789	2014	NULL	10490965	NULL	NULL	NULL	NULL	NULL
Green Mountains Review	1	NULL	NULL		English	United States	NULL	NULL	Literary journal		Johnson State College	1975-present									NULL		NULL
The Journal of Bone and Joint Surgery	1	The Journal of Bone and Joint Surgery	NULL	J. Bone Joint Surg.	NULL		NULL	NULL	Orthopedic surgery	NULL	The Journal of Bone and Joint Surgery, Inc.	1889–present			4.840	2016	JBJSA3		sc79002786	610331290	NULL	1535-1386	NULL
Critique (journal)	1	Critique	NULL		NULL	United States	NULL	NULL	Political science	NULL	Illinois State University	2001−present	Yes	NULL			NULL	NULL	NULL	694510784	NULL	NULL	NULL
Journal for the Scientific Study of Religion	1	Journal for the Scientific Study of Religion	NULL	J. Sci. Stud. Relig.	NULL		NULL	NULL	multidisciplinary	NULL	Wiley-Blackwell on behalf of the Society for the Scientific Study of Religion	1961-present			1.348	2011		00218294			NULL	1468-5906	NULL
Disease Models & Mechanisms	1	Disease Models & Mechanisms	NULL	Dis. Model. Mech.	NULL	United Kingdom	NULL	NULL	Pathology	NULL	The Company of Biologists	2008-present	Yes	NULL	4.691	2016	NULL	NULL	NULL	268958836	NULL	1754-8411	NULL
Review of Environmental Economics and Policy	1	NULL	NULL	Rev. Environ. Econ. Policy	NULL	UK	NULL	NULL	Economics	NULL	Oxford Journals	2007 - present		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1750-6824	NULL
Indagationes Mathematicae	1	Indagationes Mathematicae	NULL		English	Netherlands	NULL	NULL	Mathematics	NULL	Elsevier	1895 to present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Pacific Science	1	NULL	NULL	Pac Sci	NULL	USA	NULL	NULL	natural sciences	NULL	University of Hawaii Press	1947 to present	NULL	NULL	0.924	2014	NULL	NULL	NULL	45666040	NULL	1534-6188	NULL
BMC Health Services Research	1	BMC Health Services Research	NULL	BMC Health Serv. Res.	NULL		NULL	NULL	Health care	NULL	BioMed Central	2001–present	Yes	Creative Commons Attribution License	1.660	2009	BHSRAX			47657385	NULL		NULL
The Hopkins Review	1	The Hopkins Review	NULL		NULL	United States	NULL	NULL	Cultural studies, literature, arts	NULL	Johns Hopkins University Press	1947-1953, 2008-present		NULL						664601577	NULL	1939-9774	NULL
Psychopathology (journal)	1	Psychopathology	NULL	Psychopathology	NULL		NULL	NULL	Psychiatry	NULL	Karger Publishers	1897–present		NULL	1.557	2013	NULL	NULL	NULL		NULL	NULL	NULL
The Review of Economics and Statistics	1	The Review of Economics and Statistics	NULL	Rev. Econ. Stat.	NULL	United States	NULL	NULL	Econometrics	NULL	MIT Press for the John F. Kennedy School of Government	1919-present		NULL	2.718	2013	RECSA9	00346535	20022219	181820356	NULL	1530-9142	NULL
Addiction (journal)	1	Addiction	NULL	Addiction	NULL	NULL	NULL	NULL	Addiction	NULL	Wiley-Blackwell on behalf of the Society for the Study of Addiction	1884-present	Hybrid	NULL	4.145	2010	ADICE5	NULL	93645978	27367194	NULL	1360-0443	NULL
Management Science (journal)	1	Management Science	NULL	Manag. Sci.	NULL	United States	NULL	NULL	Management	NULL	Institute for Operations Research and the Management Sciences	1954-present		NULL	2.822	2016	MSCIAM	00251909	56021107	01641131	NULL	1526-5501	NULL
Journal of Higher Criticism	1	Journal of Higher Criticism	NULL	J. High. Crit.	NULL	United States	NULL	NULL	Religious studies, literature	NULL	Institute for Higher Critical Studies	1994-2003								30121399	NULL		NULL
Gut (journal)	1	Gut	NULL	Gut	NULL		NULL	NULL	Gastroenterology, hepatology	NULL	BMJ Group	1960–present	Delayed, after 12 months		16.658	2016	GUTTAK			01641120	NULL	1468-3288	NULL
The Clinical Journal of Pain	1	The Clinical Journal of Pain	NULL	Clin. J. Pain	NULL		NULL	NULL	Pain management	NULL	Lippincott Williams & Wilkins	1985-present			2.703	2013			98641014	806420168	NULL	1536-5409	NULL
The Scholar: St. Mary's Law Review on Minority Issues	1	The Scholar: St. Mary’s Law Review on Race and Social Justice	NULL	Scholar (San Antonio Tex.)	NULL	United States	NULL	NULL	Racial, Social, Economic, Environmental, and Criminal Justice	NULL	St. Mary's University School of Law	1999–present	NULL	NULL			NULL		00234212	42307728	NULL		NULL
Biochimica et Biophysica Acta	1	Biochimica et Biophysica Acta	NULL	Biochim. Biophys. Acta	NULL		NULL	NULL	Biochemistry	NULL	Elsevier	1947-present	Hybrid	NULL							NULL		NULL
Health Physics Society	1	Health Physics, The Radiation Safety Journal	NULL			United States	NULL	NULL	Health physics		Health Physics Society / Lippincott Williams & Wilkins	1958-date			1.017						NULL	1538-5159	NULL
BMC Structural Biology	1	BMC Structural Biology	NULL	BMC Struct. Biol.	NULL		NULL	NULL	Structural biology	NULL	BioMed Central	2001–present	Yes	Creative Commons Attribution 4.0	2.222	2013	NULL	NULL		47666349	NULL	NULL	NULL
